id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
133 G27h,Historia del Ocultismo,"Gérin-Ricard , L. de","Luis de caralt Editor, S.A.",308,-,1,f,-
842 M65t,"Tartufo - Escuela de los Maridos, La",Molière,Instituto Colombiano de Cultura,152,-,1,f,073C
843 R12g,Gargantúa y Pantagruel,"Rabelais, François","Salvat Editores, S.A.",172,-,1,f,051B
641 L84v,Viaje por las Cocinas del Mundo,"Lujan, Nestor","Salvat Editores, S.A.",206,-,1,f,080A
759 O54c,Cien Obras Maestras de la Pintura,"Olivar, Marcial","Salvat Editores, S.A.",192,-,1,f,009A
778 G17v,Vamos a Hablar de Cine,"García Escudero, José María","Salvat Editores, S.A.",166,-,1,f,049A
780 V15a,Aproximación a la Música,"Valls Gorina, Manuel","Salvat Editores, S.A.",168,-,1,f,063A
800 D41h,Hispanoamérica en su Literatura,"Díaz-Plaja, Guillermo","Salvat Editores, S.A.",180,-,1,f,067A
813 H15m,"Maldición de los Dain, La","Hammett, Dashiell","Salvat Editores, S.A.",188,-,1,f,075A
813 M25b,Benito Cereno,"Melville, Herman","Salvat Editores, S.A.",142,-,1,f,036A
813 P61n,Narraciones Extraordinarias,"Poe, Edgar Allan","Salvat Editores, S.A.",192,-,1,f,005A
813 T91a,"Aventuras de Tom Sawyer, Las","Twain, Mark","Salvat Editores, S.A.",190,-,1,f,046A
822 S31h,Hamlet,"Shakespeare, William","Salvat Editores, S.A.",174,-,1,f,007A
823 C66p,"Perro de los Baskerville, El","Conan Doyle, Sir Arthur","Salvat Editores, S.A.",172,-,1,f,042A
823 D23r,Robinso Crusoe,"Defoe, Daniel","Salvat Editores, S.A.",228,-,1,f,030A
823 D41c,"Cuento de Navidad - Grillo del Hogar, El","Dickens, Charles","Salvat Editores, S.A.",190,-,1,f,043A
823 O69m,1984,"Orwell, George","Salvat Editores, S.A.",228,-,1,f,050A
823 W 66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",156,-,1,f,083A
823 W45r,"Retrato de Dorian Gray, El","Wilde, Oscar","Salvat Editores, S.A.",206,-,1,f,033A
829.3 S94v,Viajes de Gulliver,"Swift, Jonathan","Salvat Editores, S.A.",192,-,1,f,017A
833 G62w,Werther,"Goethe, Johann Wolfgang von","Salvat Editores, S.A.",176,-,1,f,010A
833 H24n,Noches Florentinas - Memorias del Señor de Schnabelewopski,"Heine, Heinrich","Salvat Editores, S.A.",156,-,1,f,057A
842 M65e,"Enfermero Imaginario, El; Médico a Palos, El",Molière,"Salvat Editores, S.A.",190,-,1,f,012A
843 B15a,"Asunto Tenebroso, Un","Balzac, Honore de","Salvat Editores, S.A.",180,-,1,f,039A
843 F19p,"Princesa de Cleves, La","Fayette, Madame de la","Salvat Editores, S.A.",180,-,1,f,073A
843 M18d,"Desierto del Amor, El","Mauriac, François","Salvat Editores, S.A.",180,-,1,f,062A
843 S82r,Relatos,Stendhal,"Salvat Editores, S.A.",162,-,1,f,026A
843 V27e,Escuela de Robinsones,"Verne, Julio","Salvat Editores, S.A.",190,-,1,f,054A
852 P47d,"Difunto Matías Pascal, El","Pirandello, Luigi","Salvat Editores, S.A.",228,-,1,f,070A
853 P19d,"Diablo Sobre las Colinas, El","Pavese, Cesare","Salvat Editores, S.A.",166,-,1,f,081A
860 R47a,Aproximación al Quijote,"Riquer, Martín de","Salvat Editores, S.A.",170,-,1,f,019A
861 A56c,Cancionero y Romancero Español,"Alonso, Dámaso","Salvat Editores, S.A.",204,-,1,f,034A
861 M11a,Antología Poética,"Machado, Antonio","Salvat Editores, S.A.",192,-,1,f,016A
862 B17v,"Vida es Sueño, La; Alcalde de Zalamea, El","Barca, Calderón de la","Salvat Editores, S.A.",198,-,1,f,032A
